"Bedrijfsafvalstoffen";"Nuttige toepassing en eindverwerking";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Bedrijfsafval (1 000 ton)"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2019";"    2410"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2020";"    2276"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2021*";"    2363"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2007";"    3105"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2008";"    3088"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2009";"    2150"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2010";"    2074"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2015";"    2027"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2016";"    2057"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2017";"    2176"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2018";"    2145"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2019";"    2047"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2020";"    1925"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2021*";"    1996"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2007";"     132"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2008";"      79"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2009";"      64"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2010";"      71"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2015";"      78"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2016";"      70"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2017";"      78"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2018";"      56"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2019";"      48"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2020";"      52"
