"Bedrijfsafvalstoffen";"Nuttige toepassing en eindverwerking";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Bedrijfsafval (1 000 ton)"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2003";"    1225"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2004";"    1154"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2005";"    1164"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2006";"    1215"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2007";"    1224"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2008";"    1216"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2009";"     856"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2010";"     912"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2011";"    1004"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2012";"     932"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2013";"     581"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2014";"     511"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2015";"     511"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2016";"     607"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2017";"     702"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2018";"     569"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2019";"     543"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2020";"     536"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"20-21 Chemie en farmaceutische industrie";"2021*";"     541"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"1994";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"1996";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"1998";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2000";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2001";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2002";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2003";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2004";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2005";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2006";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2007";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2008";"    3541"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2009";"    2508"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2010";"    2456"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2011";"    2574"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2012";"    2487"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2013";"    2418"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2014";"    2415"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2015";"    2410"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2016";"    2457"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2017";"    2629"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2018";"    2515"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2019";"    2410"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2020";"    2276"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-30, 33 Metalektro";"2021*";"    2363"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"1994";"    2952"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"1996";"    2798"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"1998";"    3088"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2000";"    2945"
